episode,iteration,epReward,Number of Balls
259.00,28.00,3.91,995.00
269.00,27.00,4.52,1070.00
729.00,10.00,3.98,1610.00
169.00,43.00,4.17,905.00
609.00,12.00,4.53,1385.00
149.00,49.00,3.93,860.00
159.00,46.00,4.63,935.00
669.00,11.00,3.97,1550.00
179.00,41.00,4.37,785.00
199.00,37.00,4.42,1025.00
189.00,39.00,3.87,935.00
529.00,14.00,4.16,1280.00
239.00,31.00,3.91,950.00
1489.00,5.00,3.69,2465.00
829.00,9.00,3.84,1685.00
169.00,44.00,4.19,830.00
1069.00,7.00,4.32,2075.00
249.00,30.00,3.67,1100.00
159.00,47.00,4.20,815.00
259.00,29.00,4.63,1085.00
1509.00,5.00,4.08,2480.00
179.00,42.00,3.40,935.00
229.00,33.00,4.54,860.00
189.00,40.00,3.39,995.00
1269.00,6.00,3.88,2375.00
1089.00,7.00,3.98,2075.00
1909.00,4.00,4.04,3200.00
169.00,45.00,4.48,950.00
589.00,13.00,3.85,1445.00
159.00,48.00,3.97,980.00
219.00,35.00,4.40,920.00
1929.00,4.00,3.92,3215.00
179.00,43.00,3.74,935.00
249.00,31.00,3.96,980.00
969.00,8.00,4.35,2060.00
209.00,37.00,4.00,1025.00
189.00,41.00,4.12,845.00
199.00,39.00,3.74,950.00
709.00,11.00,3.64,1595.00
169.00,46.00,4.13,935.00
269.00,29.00,3.80,1085.00
159.00,49.00,4.37,875.00
1569.00,5.00,3.89,2540.00
1309.00,6.00,3.66,2450.00
1969.00,4.00,4.09,3245.00
789.00,10.00,3.86,1700.00
1129.00,7.00,4.16,2135.00
179.00,44.00,4.44,875.00
609.00,13.00,4.57,1460.00
529.00,15.00,4.41,1325.00
1989.00,4.00,3.70,3245.00
189.00,42.00,4.46,980.00
169.00,47.00,4.57,830.00
199.00,40.00,4.11,995.00
889.00,9.00,4.44,1775.00
729.00,11.00,3.61,1595.00
669.00,12.00,3.76,1445.00
229.00,35.00,4.02,920.00
259.00,31.00,4.11,995.00
1009.00,8.00,4.22,2075.00
179.00,45.00,4.14,950.00
279.00,29.00,4.18,1085.00
219.00,37.00,3.71,1025.00
1629.00,5.00,3.54,2585.00
169.00,48.00,4.63,980.00
189.00,43.00,4.57,950.00
209.00,39.00,3.78,980.00
199.00,41.00,4.43,875.00
1369.00,6.00,4.40,2525.00
1029.00,8.00,4.28,2105.00
249.00,33.00,3.87,890.00
589.00,14.00,4.49,1310.00
179.00,46.00,4.56,950.00
829.00,10.00,3.76,1790.00
259.00,32.00,4.30,965.00
169.00,49.00,4.02,890.00
1389.00,6.00,4.32,2585.00
1669.00,5.00,4.23,2615.00
189.00,44.00,4.25,905.00
269.00,31.00,4.25,1010.00
199.00,42.00,4.23,995.00
289.00,29.00,3.62,1145.00
649.00,13.00,3.73,1535.00
179.00,47.00,3.90,875.00
769.00,11.00,4.08,1610.00
529.00,16.00,4.08,1370.00
249.00,34.00,4.56,1025.00
229.00,37.00,3.75,1040.00
709.00,12.00,4.31,1490.00
609.00,14.00,4.43,1355.00
189.00,45.00,4.00,950.00
1069.00,8.00,4.19,2150.00
219.00,39.00,3.91,995.00
199.00,43.00,4.09,995.00
209.00,41.00,3.99,920.00
179.00,48.00,3.83,980.00
1729.00,5.00,4.02,2705.00
509.00,17.00,3.99,1205.00
279.00,31.00,4.15,1025.00
789.00,11.00,3.95,1625.00
289.00,30.00,4.11,1145.00
669.00,13.00,3.64,1535.00
1089.00,8.00,3.37,2165.00
969.00,9.00,3.86,1880.00
189.00,46.00,3.58,965.00
249.00,35.00,3.85,965.00
729.00,12.00,4.39,1505.00
199.00,44.00,3.99,920.00
179.00,49.00,4.00,890.00
259.00,34.00,4.25,1040.00
589.00,15.00,3.93,1370.00
239.00,37.00,4.25,1055.00
1269.00,7.00,3.99,2420.00
889.00,10.00,4.11,1850.00
269.00,33.00,4.42,920.00
